 address_id , address                                , address2 , district             , city_id , postal_code , phone        
5, 1913 Hanoi Way                         ,          , Nagasaki             ,463,35200,28303384290
1, 47 MySakila Drive                      , NULL     , Alberta              ,300,,              
2, 28 MySQL Boulevard                     , NULL     , QLD                  ,576,,              
3, 23 Workhaven Lane                      , NULL     , Alberta              ,300,,14033335568
4, 1411 Lillydale Drive                   , NULL     , QLD                  ,576,,6172235589
6, 1121 Loja Avenue                       ,          , California           ,449,17886,839000000000
7, 692 Joliet Street                      ,          , Attika               ,38,83579,448000000000
8, 1566 Ineg?Âl Manor                     ,          , Mandalay             ,349,53561,706000000000
9, 53 Idfu Parkway                        ,          , Nantou               ,361,42399,10655648674
10, 1795 Santiago de Compostela Way        ,          , Texas                ,295,18743,860000000000
11, 900 Santiago de Compostela Parkway     ,          , Central Serbia       ,280,93896,717000000000
12, 478 Joliet Way                         ,          , Hamilton             ,200,77948,657000000000
13, 613 Korolev Drive                      ,          , Masqat               ,329,45844,381000000000
14, 1531 Sal?® Drive                       ,          , Esfahan              ,162,53628,649000000000
15, 1542 Tarlac Parkway                    ,          , Kanagawa             ,440,1027,635000000000
16, 808 Bhopal Manor                       ,          , Haryana              ,582,10672,466000000000
17, 270 Amroha Parkway                     ,          , Osmaniye             ,384,29610,695000000000
18, 770 Bydgoszcz Avenue                   ,          , California           ,120,16266,517000000000
19, 419 Iligan Lane                        ,          , Madhya Pradesh       ,76,72878,991000000000
20, 360 Toulouse Parkway                   ,          , England              ,495,54308,949000000000
21, 270 Toulon Boulevard                   ,          , Kalmykia             ,156,81766,408000000000
22, 320 Brest Avenue                       ,          , Kaduna               ,252,43331,748000000000
23, 1417 Lancaster Avenue                  ,          , Northern Cape        ,267,72192,273000000000
24, 1688 Okara Way                         ,          , Nothwest Border Prov ,327,21954,144000000000
25, 262 A Coru??a (La Coru??a) Parkway     ,          , Dhaka                ,525,34418,893000000000
26, 28 Charlotte Amalie Street             ,          , Rabat-Sal-Zammour-Z  ,443,37551,162000000000
27, 1780 Hino Boulevard                    ,          , Liepaja              ,303,7716,903000000000
28, 96 Tafuna Way                          ,          , C??rdoba             ,128,99865,935000000000
29, 934 San Felipe de Puerto Plata Street  ,          , Sind                 ,472,99780,196000000000
30, 18 Duisburg Boulevard                  ,          ,                      ,121,58327,998000000000
31, 217 Botshabelo Place                   ,          , Southern Mindanao    ,138,49521,665000000000
32, 1425 Shikarpur Manor                   ,          , Bihar                ,346,65599,678000000000
33, 786 Aurora Avenue                      ,          , Yamaguchi            ,474,65750,18461860151
34, 1668 An?ípolis Street                  ,          , Taipei               ,316,50199,525000000000
35, 33 Gorontalo Way                       ,          , West Bengali         ,257,30348,746000000000
36, 176 Mandaluyong Place                  ,          , Uttar Pradesh        ,239,65213,628000000000
37, 127 Purnea (Purnia) Manor              ,          , Piemonte             ,17,79388,912000000000
38, 61 Tama Street                         ,          , Okayama              ,284,94065,708000000000
39, 391 Callao Drive                       ,          , Midi-Pyrnes          ,544,34021,441000000000
40, 334 Munger (Monghyr) Lane              ,          , Markazi              ,31,38145,481000000000
41, 1440 Fukuyama Loop                     ,          , Henan                ,362,47929,912000000000
42, 269 Cam Ranh Parkway                   ,          , Chisinau             ,115,34689,490000000000
43, 306 Antofagasta Place                  ,          , Esprito Santo        ,569,3989,378000000000
44, 671 Graz Street                        ,          , Oriental             ,353,94399,681000000000
45, 42 Brindisi Place                      ,          , Yerevan              ,586,16744,42384721397
46, 1632 Bislig Avenue                     ,          , Nonthaburi           ,394,61117,472000000000
47, 1447 Imus Way                          ,          , Tahiti               ,167,48942,540000000000
48, 1998 Halifax Drive                     ,          , Lipetsk              ,308,76022,178000000000
49, 1718 Valencia Street                   ,          , Antofagasta          ,27,37359,675000000000
50, 46 Pjatigorsk Lane                     ,          , Moscow (City)        ,343,23616,262000000000
51, 686 Garland Manor                      ,          , Cear                 ,247,52535,69493378813
52, 909 Garland Manor                      ,          , Tatarstan            ,367,69367,706000000000
53, 725 Isesaki Place                      ,          , Mekka                ,237,74428,876000000000
54, 115 Hidalgo Parkway                    ,          , Khartum              ,379,80168,308000000000
55, 1135 Izumisano Parkway                 ,          , California           ,171,48150,172000000000
56, 939 Probolinggo Loop                   ,          , Galicia              ,1,4166,680000000000
57, 17 Kabul Boulevard                     ,          , Chiba                ,355,38594,698000000000
58, 1964 Allappuzha (Alleppey) Street      ,          , Yamaguchi            ,227,48980,921000000000
59, 1697 Kowloon and New Kowloon Loop      ,          , Moskova              ,49,57807,499000000000
60, 1668 Saint Louis Place                 ,          , Tahiti               ,397,39072,347000000000
61, 943 Tokat Street                       ,          , Vaduz                ,560,45428,889000000000
62, 1114 Liepaja Street                    ,          , Sarawak              ,282,69226,213000000000
63, 1213 Ranchi Parkway                    ,          , Karnataka            ,350,94352,800000000000
64, 81 Hodeida Way                         ,          , Rajasthan            ,231,55561,251000000000
65, 915 Ponce Place                        ,          , Basel-Stadt          ,56,83980,1395251317
66, 1717 Guadalajara Lane                  ,          , Missouri             ,441,85505,914000000000
67, 1214 Hanoi Way                         ,          , Nebraska             ,306,67055,491000000000
68, 1966 Amroha Avenue                     ,          , Sichuan              ,139,70385,333000000000
69, 698 Otsu Street                        ,          , Cayenne              ,105,71110,410000000000
