customer_id, customer_name                  , address                                , zip_code , phone        , city                       , country, notes  , SID 
218, VERA MCCOY            , 1168 Najafabad Parkway                 ,40301,8.87E+11, Kabul                      , Afghanistan, active ,1
441, MARIO CHEATHAM        , 1924 Shimonoseki Drive                 ,52625,4.07E+11, Batna                      , Algeria, active ,1
69, JUDY GRAY             , 1031 Daugavpils Parkway                ,59025,1.07E+11, B?®char                    , Algeria, active ,2
176, JUNE CARROLL          , 757 Rustenburg Avenue                  ,89668,5.06E+11, Skikda                     , Algeria, active ,1
320, ANTHONY SCHWAB        , 1892 Nabereznyje T?íelny Lane          ,28396,4.78E+11, Tafuna                     , American Samoa, active ,2
528, CLAUDE HERZOG         , 486 Ondo Parkway                       ,35202,1.06E+11, Benguela                   , Angola, active ,1
383, MARTIN BALES          , 368 Hu?ínuco Boulevard                 ,17165,1.06E+11, Namibe                     , Angola, active ,1
381, BOBBY BOUDREAU        , 1368 Maraca?¡bo Boulevard              ,32716,9.34E+11, South Hill                 , Anguilla, active ,2
359, WILLIE MARKHAM        , 1623 Kingstown Drive                   ,91299,2.96E+11, Almirante Brown            , Argentina, active ,2
560, JORDAN ARCHULETA      , 1229 Varanasi (Benares) Manor          ,40195,8.18E+11, Avellaneda                 , Argentina, active ,1
322, JASON MORRISSEY       , 1427 A Coru??a (La Coru??a) Place      ,85799,9.73E+11, Bah?¡a Blanca              , Argentina, active ,1
24, KIMBERLY LEE          , 96 Tafuna Way                          ,99865,9.35E+11, C??rdoba                   , Argentina, active ,2
445, MICHEAL FORMAN        , 203 Tambaram Street                    ,73942,4.12E+11, Escobar                    , Argentina, active ,1
530, DARRYL ASHCRAFT       , 166 Jinchang Street                    ,86760,7.18E+11, Ezeiza                     , Argentina, active ,2
89, JULIA FLORES          , 1926 El Alto Avenue                    ,75543,8.46E+11, La Plata                   , Argentina, active ,1
107, FLORENCE WOODS        , 1532 Dzerzinsk Way                     ,9599,3.31E+11, Merlo                      , Argentina, active ,1
585, PERRY SWAFFORD        , 773 Dallas Manor                       ,12664,9.14E+11, Quilmes                    , Argentina, active ,1
243, LYDIA BURKE           , 1483 Pathankot Street                  ,37288,6.86E+11, San Miguel de Tucum?ín     , Argentina, active ,1
331, ERIC ROBERT           , 430 Kumbakonam Drive                   ,28814,1.05E+11, Santa F?®                  , Argentina, active ,1
405, LEONARD SCHOFIELD     , 88 Nagaon Manor                        ,86868,7.79E+11, Tandil                     , Argentina, active ,1
219, WILLIE HOWELL         , 1244 Allappuzha (Alleppey) Place       ,20657,9.92E+11, Vicente L??pez             , Argentina, active ,2
41, STEPHANIE MITCHELL    , 42 Brindisi Place                      ,16744,42384721397, Yerevan                    , Armenia, active ,1
173, AUDREY RAY            , 1010 Klerksdorp Way                    ,6802,4.93E+11, Graz                       , Austria, active ,1
159, JILL HAWKINS          , 1440 Compton Place                     ,81037,9.31E+11, Linz                       , Austria, active ,1
266, NORA HERRERA          , 1587 Loja Manor                        ,5410,6.22E+11, Salzburg                   , Austria, active ,2
333, ANDREW PURDY          , 431 Sz?®kesfeh?®rv?ír Avenue           ,57828,1.20E+11, Baku                       , Azerbaijan, active ,2
334, RAYMOND MCWHORTER     , 503 Sogamoso Loop                      ,49812,8.35E+11, Sumqayit                   , Azerbaijan, active ,2
590, SETH HANNON           , 1759 Niznekamsk Avenue                 ,39414,8.64E+11, al-Manama                  , Bahrain, active ,2
332, STEPHEN QUALLS        , 1838 Tabriz Lane                       ,1195,38988715447, Dhaka                      , Bangladesh, active ,1
329, FRANK WAGGONER        , 1816 Bydgoszcz Loop                    ,64308,9.65E+11, Jamalpur                   , Bangladesh, active ,2
21, MICHELLE CLARK        , 262 A Coru??a (La Coru??a) Parkway     ,34418,8.93E+11, Tangail                    , Bangladesh, active ,1
527, CORY MEEHAN           , 556 Asunci??n Way                      ,35364,3.38E+11, Mogiljov                   , Belarus, active ,1
144, CLARA SHAW            , 1027 Songkhla Manor                    ,30861,5.64E+11, Molodet?íno                , Belarus, active ,1
455, JON WILES             , 659 Gatineau Boulevard                 ,28587,2.06E+11, El Alto                    , Bolivia, active ,2
431, JOEL FRANCISCO        , 287 Cuautla Boulevard                  ,72736,82619513349, Sucre                      , Bolivia, active ,2
551, CLAYTON BARBEE        , 1407 Pachuca de Soto Place             ,26284,3.80E+11, Alvorada                   , Brazil, active ,2
307, JOSEPH JOY            , 1354 Siegen Street                     ,80184,5.73E+11, Angra dos Reis             , Brazil, active ,2
229, TAMARA NGUYEN         , 356 Olomouc Manor                      ,93323,22326410776, An?ípolis                  , Brazil, active ,1
216, NATALIE MEYER         , 1201 Qomsheh Manor                     ,21464,8.73E+11, Aparecida de Goi?ónia      , Brazil, active ,1
77, JANE BENNETT          , 1692 Ede Loop                          ,9223,9.19E+11, Ara?ºatuba                 , Brazil, active ,2
398, ANTONIO MEEK          , 1190 0 Place                           ,10417,8.42E+11, Bag?®                      , Brazil, active ,1
362, NICHOLAS BARFIELD     , 1163 London Parkway                    ,6066,6.75E+11, Bel?®m                     , Brazil, active ,1
206, TERRI VASQUEZ         , 1304 ??s-Hertogenbosch Way             ,10925,90336226227, Blumenau                   , Brazil                                , active ,1
342, HAROLD MARTINO        , 1293 Nam Dinh Way                      ,71583,6.98E+11, Boa Vista                  , Brazil, active ,1
325, TIMOTHY BUNN          , 981 Kumbakonam Place                   ,87611,8.29E+11, Bras?¡lia                  , Brazil, active ,1
92, TINA SIMMONS          , 984 Effon-Alaiye Avenue                ,17119,1.33E+11, Goi?ónia                   , Brazil, active ,2
427, JESUS MCCARTNEY       , 259 Ipoh Drive                         ,64964,4.19E+11, Guaruj?í                   , Brazil, active ,2
130, CHARLOTTE HUNTER      , 758 Junan Lane                         ,82639,9.35E+11, ?üguas Lindas de Goi?ís    , Brazil, active ,1
310, DANIEL CABRAL         , 543 Bergamo Avenue                     ,59686,1.04E+11, Ibirit?®                   , Brazil, active ,2
47, FRANCES PARKER        , 686 Garland Manor                      ,52535,69493378813, Juazeiro do Norte          , Brazil, active ,1
591, KENT ARSENAULT        , 32 Liaocheng Way                       ,1944,4.11E+11, Juiz de Fora               , Brazil, active ,1
183, IDA ANDREWS           , 1839 Sz?®kesfeh?®rv?ír Parkway         ,55709,9.47E+11, Luzi?ónia                  , Brazil, active ,2
